group,pairIndex,randomSeed,amplitudeCurl,curlMultiplier,pivotDepth,forwardGain,verticalAngleRatio,propagationDirectionDeg,frontFaceAngleDeg,epsilonFront,epsilonRear,asymmetry,angleInReference,frontSteeper,valid,errorMessage
G1 Shallow-curl,39,366825561,0.22494707733056,0.484828936023876,0.972597701760039,1.12808760373763,0.379245819961126,0,11.6166499205094,0.0671631797641679,0.0353912130602546,1.89773601853716,0,1,1,
G1 Shallow-curl,40,1443220870,0.177476599346455,0.490065757419618,1.00255865599594,1.14300045080299,0.231701335688467,180,28.9132465966171,0.126557666536518,0.0610372987322792,2.07344802547083,0,1,1,
G1 Shallow-curl,41,1612868000,0.214337612376077,0.551759161735848,0.993674728552976,1.17793584405942,0.340683235034791,180,9.913025728276,0.120819503817368,0.0482479920121667,2.50413538011905,0,1,1,
G1 Shallow-curl,42,705878461,0.18894615245796,0.64666906606904,1.04307039945769,1.05729605276228,0.237572884598185,0,2.52951002379503,0.0616742221743709,0.0283394437634734,2.17626791439931,0,1,1,
G1 Shallow-curl,43,1945964322,0.224287812505474,0.539171890607726,0.996940397947282,1.11781334775073,0.388470123145698,180,9.23683862684674,0.0791198098553295,0.0359423440348127,2.20129799488582,0,1,1,
G1 Shallow-curl,44,718062189,0.212483571954579,0.528489699870578,0.910400405825258,1.06192650887903,0.359785345782545,0,5.97156515321419,0.0610327561970064,0.0272582813819438,2.23905371515591,0,1,1,
G1 Shallow-curl,45,6601311,0.214783219195425,0.602225373879681,1.09088722598273,1.0275307544623,0.294927335597647,0,7.79587523096998,0.12771849855997,0.0414920606100513,3.07814306356794,0,1,1,
G1 Shallow-curl,46,211273431,0.200520273834104,0.511298137061691,0.839324346687629,1.00170069892068,0.311996480220779,0,16.0636866022429,0.155036100856569,0.058114115486549,2.66778732771823,0,1,1,
G1 Shallow-curl,47,1413038097,0.212097384269973,0.641322328094305,0.942153839885134,1.07249261801583,0.378631962929976,180,7.06298385172956,0.092488535847964,0.0442270879205381,2.09121920968743,0,1,1,
G1 Shallow-curl,48,578508621,0.220513590975529,0.491317823065257,0.824144194395055,1.16717225278457,0.324762044074551,0,6.64495873718577,0.106121600937154,0.0418155718739821,2.53784884867696,0,1,1,
G1 Shallow-curl,49,1488571601,0.202862292250807,0.466726043931222,1.05391690486046,1.24339697733381,0.369238744753437,180,7.5668169070429,0.0884376696851958,0.0445085914349579,1.98697974557189,0,1,1,
G1 Shallow-curl,50,454501701,0.217713074150505,0.509816464636828,0.974470671504469,1.07425616327571,0.376296956766864,0,7.40642548201105,0.0883844838387505,0.0379449236296221,2.32928348206642,0,1,1,
G1 Shallow-curl,51,690160693,0.170851707245533,0.537056103939707,1.01184490130207,1.08021157659625,0.2980914795466,180,4.59391783394072,0.072254714769131,0.0378986043764071,1.90652705971705,0,1,1,
G1 Shallow-curl,52,2094925958,0.217377550578037,0.464551003321655,1.02697358137508,1.08206210572104,0.29241737616155,0,2.81934485083444,0.0577968185572604,0.0262461612746297,2.20210559374747,0,1,1,
G1 Shallow-curl,53,1058717077,0.188589774397987,0.514372254218441,1.0882008010613,1.04454400194401,0.295651845776354,180,2.63780559109994,0.0837699364858256,0.0425059649201967,1.97078072790726,0,1,1,
G1 Shallow-curl,54,1822166926,0.222647644147219,0.62823555775811,0.902913017938971,1.07773263108365,0.276245136555033,0,10.9814302510105,0.102551153533525,0.0359356445692643,2.85374465277401,0,1,1,
G1 Shallow-curl,55,662908828,0.216484176445175,0.517676148864584,1.07696148721389,1.01157328978424,0.211722148150109,180,21.6372516020567,0.116557371884316,0.0465941134232148,2.5015471552302,0,1,1,
G1 Shallow-curl,56,1733745105,0.187019517234054,0.535519902776432,1.07274026945869,1.26921100028615,0.223085661446179,0,9.28918499446801,0.104710911532721,0.0383135103245235,2.73300229203218,0,1,1,
G1 Shallow-curl,57,767710335,0.180612699533568,0.496434050819254,1.02427584733198,1.12065161647379,0.396409050494616,0,9.19501513986325,0.0827648846539435,0.0357137790057743,2.31744964991136,0,1,1,
G1 Shallow-curl,58,585464374,0.226706234807485,0.502091190921615,1.069952735643,1.24538781090823,0.397742634841993,0,5.75526665456785,0.101976183577891,0.0468503692870449,2.17663564086547,0,1,1,
G1 Shallow-curl,59,1422132667,0.1732343071805,0.571416309325586,0.944253223540563,1.28879270403691,0.346449763273541,0,3.27187429783587,0.065576538281511,0.0297701916160861,2.2027583539663,0,1,1,
G1 Shallow-curl,60,1541811578,0.199033233570154,0.491477306304994,0.917010797658686,1.1346014489364,0.312670242044003,0,4.34416443711028,0.0741165711280049,0.0365969925250809,2.02520934137445,0,1,1,
G1 Shallow-curl,61,633047925,0.18176392556457,0.565980792478284,1.05248560919672,1.13754949783634,0.374938609984058,180,0.87382084420093,0.0835890618617709,0.0402825116788652,2.07507075348599,0,1,1,
G1 Shallow-curl,62,1453551607,0.178219013924047,0.586645409800535,0.870250543852715,1.26550019156153,0.26427253773639,0,15.5365971612119,0.110822581576633,0.0523144560082643,2.11839307970871,0,1,1,
G1 Shallow-curl,63,2112068487,0.205601734406421,0.591384686729571,1.06055607059424,1.13424646110463,0.263939074174425,180,25.0242563415442,0.166394406292937,0.051452746319628,3.23392662578755,0,1,1,
G1 Shallow-curl,64,60104149,0.203463824645988,0.582647587495007,0.872889473596741,1.19018138822054,0.268341346773503,180,2.68836963954197,0.0427081981072887,0.0236862607657475,1.80307894646878,0,1,1,
G1 Shallow-curl,65,1581634654,0.217670252637573,0.549943987409586,0.962938905216575,1.21259401659609,0.366343798369947,0,3.99960144052751,0.126044841723915,0.0533309607313823,2.36344592325606,0,1,1,
G1 Shallow-curl,66,1624901972,0.208370098355452,0.554662785114119,0.875145922764625,1.21699880757777,0.271976489999577,180,12.0802567618365,0.0611158219835609,0.0295158539879001,2.07060998501398,0,1,1,
G1 Shallow-curl,67,1213672979,0.176215584973862,0.477552922477813,0.934550521505729,1.2181640060365,0.226517084390106,0,39.2532655090204,0.126360057357588,0.0389463760614739,3.24446251836469,0,1,1,
G1 Shallow-curl,68,1641739556,0.228362627701571,0.641889072678651,0.956647780882312,1.1475199527621,0.247464785338025,180,18.7975991510545,0.146144844245385,0.0524155370584394,2.78819702033091,0,1,1,
G1 Shallow-curl,69,1024913093,0.198256140869884,0.548968983374119,0.996579091560335,1.1683191676907,0.305335436300665,0,9.73347452501516,0.077901752623359,0.0294271567070836,2.64727419637545,0,1,1,
G1 Shallow-curl,70,1141331834,0.185083570281757,0.492246928615102,1.08288693895953,1.19079522107513,0.398460963868483,180,4.2412092585994,0.0698892696728949,0.0348226964507083,2.00700338561729,0,1,1,
G1 Shallow-curl,71,930813870,0.170470811684984,0.553560321599353,1.06539245292835,1.2893860219434,0.234355421223127,0,2.7773124949408,0.0700618966067767,0.0290461033199957,2.412092797265,0,1,1,
G1 Shallow-curl,72,1749452000,0.196381878393676,0.452893121578642,1.04454449255647,1.00535358202761,0.339690062973464,0,9.74737258725294,0.070859469297901,0.033916426278781,2.08923748968896,0,1,1,
G1 Shallow-curl,73,987541412,0.2211880436828,0.504942234622387,0.808600097071939,1.25875550210537,0.22800793030657,0,15.1594859497773,0.110318591622776,0.0502187946047076,2.1967590518876,0,1,1,
G1 Shallow-curl,74,1006158563,0.194791799699717,0.459376958619165,1.00038790482431,1.17280880890416,0.267482089234443,180,22.1927411416741,0.140846582849823,0.0461864410272686,3.04952232120822,0,1,1,
